,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 06:00:00,0.00233746055556,0.00233746055556,0.00233746055556,0.0,0.00233746055556,0.00233746055556,0.00233746055556,0.00233746055556,0.0,0.00233746055556,0.00233746055556
2017-02-26 06:30:00,0.155,0.035,0.189027546186,0.0,0.189027546186,0.0,0.037,0.0,0.0,0.038,0.074
2017-02-26 07:00:00,0.158,0.013,0.7054312623,0.0,0.7054312623,0.0,0.0,0.0,0.0,0.041,0.119
2017-02-26 07:30:00,0.165,0.047,1.09896750872,0.0,0.71,0.0,0.0,0.0,0.0,0.035,0.098
2017-02-26 08:00:00,0.165,0.029,1.5290306909,0.0,0.711,0.0,0.0,0.0,0.0,0.187,0.102
2017-02-26 08:30:00,0.17,0.019,1.79409919413,0.0,0.71,0.0,0.0,0.0,0.0,0.043,0.073
2017-02-26 09:00:00,0.165,0.048,2.27595396187,0.0,0.708,0.0,0.0,0.0,0.0,0.036,0.088
2017-02-26 09:30:00,0.16,0.022,2.48157455867,0.0,0.546,0.0,0.0,0.0,0.0,0.036,0.079
2017-02-26 10:00:00,0.158,0.029,2.69035219705,0.0,1.202,0.0,0.0,0.0,0.0,0.039,0.081
2017-02-26 10:30:00,0.165,0.05,3.09418846043,0.0,1.01,0.0,0.0,0.0,0.0,0.041,0.109
2017-02-26 11:00:00,0.17,0.064,3.32188605875,0.0,0.999,0.0,0.0,0.0,0.0,0.035,0.106
2017-02-26 11:30:00,0.168,0.072,3.22039141005,0.0,0.995,0.0,0.0,0.0,0.0,0.038,0.116
2017-02-26 12:00:00,0.173,0.066,3.15898575368,0.0,0.974,0.0,0.0,0.0,0.0,0.043,0.075
2017-02-26 12:30:00,0.163,0.013,2.9177627767,0.0,0.974,0.0,0.0,0.0,0.0,0.035,0.09
2017-02-26 13:00:00,0.43,0.062,2.7218521916,0.0,0.989,0.0,0.0,0.0,0.0,0.038,0.07
2017-02-26 13:30:00,0.163,0.02,2.74321850897,0.0,1.007,0.0,0.0,0.0,0.0,0.043,0.092
2017-02-26 14:00:00,0.173,0.044,2.42325392782,0.0,1.05,0.0,0.0,0.0,0.0,0.036,0.085
2017-02-26 14:30:00,0.175,0.038,2.03921267495,0.0,0.978,0.0,0.0,0.0,0.0,0.038,0.125
2017-02-26 15:00:00,0.173,0.026,1.62368060293,0.0,0.983,0.0,0.0,0.0,0.0,0.043,0.103
2017-02-26 15:30:00,0.165,0.055,1.45842353343,0.0,0.984,0.0,0.0,0.0,0.0,0.036,0.108
2017-02-26 16:00:00,0.163,0.014,1.41239808588,0.0,0.987,0.0,0.0,0.0,0.0,0.038,0.077
2017-02-26 16:30:00,0.163,0.055,1.22871949512,0.0,1.004,0.0,0.0,0.0,0.0,0.043,0.083
2017-02-26 17:00:00,0.168,0.027,0.848381913233,0.0,0.848381913233,0.0,0.0,0.0,0.0,0.036,0.082
2017-02-26 17:30:00,0.175,0.035,0.362239136714,0.0,0.362239136714,0.0,0.014,0.0,0.0,0.038,0.078
2017-02-26 18:00:00,0.0463208395714,0.0463208395714,0.0463208395714,0.0,0.0463208395714,0.0,0.032,0.0,0.0,0.043,0.0463208395714
2017-02-26 18:30:00,0.0003889728,0.0003889728,0.0003889728,0.0003889728,0.0003889728,0.0003889728,0.0003889728,0.0003889728,0.0,0.0003889728,0.0003889728
2017-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27 06:00:00,0.0002661225,0.0002661225,0.0002661225,0.0002661225,0.0002661225,0.0002661225,0.0002661225,0.0002661225,0.0,0.0002661225,0.0002661225
2017-02-27 06:30:00,0.031646618625,0.031646618625,0.031646618625,0.0,0.031646618625,0.031646618625,0.031646618625,0.0,0.0,0.031646618625,0.031646618625
2017-02-27 07:00:00,0.0358079723125,0.012,0.0358079723125,0.0,0.0358079723125,0.0358079723125,0.03,0.0,0.0,0.0358079723125,0.0358079723125
2017-02-27 07:30:00,0.100700996625,0.036,0.100700996625,0.0,0.100700996625,0.100700996625,0.100700996625,0.0,0.0,0.038,0.075
2017-02-27 08:00:00,0.3934914638,0.042,0.3934914638,0.0,0.3934914638,0.0,0.392,0.0,0.0,0.035,0.085
2017-02-27 08:30:00,0.36465077385,0.01,0.36465077385,0.0,0.36465077385,0.0,0.36465077385,0.0,0.36465077385,0.36465077385,0.282
2017-02-27 09:00:00,0.644358173562,0.042,0.644358173562,0.0,0.644358173562,0.0,0.198,0.0,0.644358173562,0.644358173562,0.644358173562
2017-02-27 09:30:00,0.865285697338,0.036,0.865285697338,0.0,0.865285697338,0.0,0.021,0.0,0.865285697338,0.738,0.659
