,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,-0.158,-0.016,-7.392,-0.095,-0.681,-0.205,-0.132,-0.255,0.0,-0.035,-0.101
2017-02-26 04:30:00,-0.168,-0.035,-6.96,-0.061,-0.713,-0.31,-0.153,-0.159,0.0,-0.094,-0.089
2017-02-26 05:00:00,-0.168,-0.043,-6.292,-0.091,-0.684,-0.218,-0.137,-0.537,0.0,-0.253,-0.077
2017-02-26 05:30:00,-0.17,-0.011,-7.18,-0.065,-0.683,-0.273,-0.159,-0.304,0.0,-0.127,-0.081
2017-02-26 06:00:00,-0.433,-0.043,-5.78,0.01137813,-0.704,-0.147415526,-0.125,-1.2532923625,0.009659015,-0.035,-0.082
2017-02-26 06:30:00,-0.155,-0.035,-6.62,0.527599066,-0.708,0.0831410068,-0.037,0.6418836275,0.070569123,-0.038,-0.074
2017-02-26 07:00:00,-0.158,-0.013,-6.052,1.563555076,-0.707,0.7339775048,0.0,1.744721715,0.190333278,-0.041,-0.119
2017-02-26 07:30:00,-0.165,-0.047,-5.66,2.543781646,-0.71,0.9474910908,0.0,2.7973652025,0.305167113,-0.035,-0.098
2017-02-26 08:00:00,-0.165,-0.029,-7.652,3.374821708,-0.711,1.7465908184,0.0,3.654138345,0.398633274,-0.187,-0.102
2017-02-26 08:30:00,-0.17,-0.019,-7.06,3.941808896,-0.71,2.0755681408,0.0,4.28027864,0.466939488,-0.043,-0.073
2017-02-26 09:00:00,-0.165,-0.048,-7.92,5.005761824,-0.708,2.6849721152,0.0,5.37917116,0.585818672,-0.036,-0.088
2017-02-26 09:30:00,-0.16,-0.022,-6.372,5.45589104,-0.546,2.913722592,0.0,5.8785386,0.64129512,-0.036,-0.079
2017-02-26 10:00:00,-0.158,-0.029,-7.412,5.912804246,-1.202,3.1992885708,0.0,6.3385429525,0.691477413,-0.039,-0.081
2017-02-26 10:30:00,-0.165,-0.05,-7.38,6.820252452,-1.01,3.6866975496,0.0,7.263228555,0.794952206,-0.041,-0.109
2017-02-26 11:00:00,-0.17,-0.064,-9.32,7.29383205,-0.999,3.98741209,0.0,7.7992454375,0.850826775,-0.035,-0.106
2017-02-26 11:30:00,-0.168,-0.072,-9.3,7.094425806,-0.995,3.8303654588,0.0,7.5724696025,0.825087593,-0.038,-0.116
2017-02-26 12:00:00,-0.173,-0.066,-10.12,6.661086642,-0.974,3.8559570116,0.0,7.6070147175,0.829856151,-0.043,-0.075
2017-02-26 12:30:00,-0.163,-0.013,-9.14,5.884277604,-0.974,3.6638195592,0.0,7.175678235,0.782801262,-0.035,-0.09
2017-02-26 13:00:00,-0.43,-0.062,-7.88,5.457114192,-0.989,3.3708650016,0.0,6.76512078,0.738013176,-0.038,-0.07
2017-02-26 13:30:00,-0.163,-0.02,-7.032,5.514584676,-1.007,3.4279635848,0.0,6.778310715,0.738452078,-0.043,-0.092
2017-02-26 14:00:00,-0.173,-0.044,-7.02,4.809533138,-1.05,3.0287496324,0.0,6.0421023575,0.659138439,-0.036,-0.085
2017-02-26 14:30:00,-0.175,-0.038,-6.76,4.070284394,-0.978,2.3309465012,0.0,5.2602046475,0.573840507,-0.038,-0.125
